Date,Liabilities,Student Loans,Credit Card,Assets,Capital One 360,Foreign Bank/Cash,BofA_A_CH,Fidelity,BofA_A_S,BofA_L_S,UNFCU,Schwab Checking,Roth IRA,Taxable Account-1,House Fund,IRA,UNJSPF,Schwab Brokerage,Vehicle,Net Worth
01-May-14,-201454.31,-197957.31,-3497.0,40555.66,34532.28,208.65,4638.94,50.0,50.0,8.0,0.0,51.47,1016.32,0.0,0.0,0.0,0.0,0.0,0.0,-160898.65
01-Jun-14,-193963.7,-193550.07,-413.63,48636.45,40986.79,4327.96,317.17,21.84,22.0,8.98,0.0,473.39,2478.32,0.0,0.0,0.0,0.0,0.0,0.0,-145327.25
01-Jul-14,-179813.23,-179344.17,-469.06,52683.66,42300.29,1851.45,1324.96,306.82,41.0,9.01,0.0,766.43,3029.01,3054.69,0.0,0.0,0.0,0.0,0.0,-127129.57
01-Aug-14,-179344.13,-178581.35,-762.78,47865.95,38978.18,10.44,187.81,1818.71,66.0,9.01,0.0,461.92,3051.46,3282.42,0.0,0.0,0.0,0.0,0.0,-131478.18
01-Sep-14,-170618.19,-167585.07,-3033.12,53458.36,41239.36,2656.37,385.87,310.27,75.0,9.01,0.0,254.8,4869.56,3658.12,0.0,0.0,0.0,0.0,0.0,-117159.83
01-Oct-14,-155920.81,-155920.81,0.0,56598.9,40650.27,2953.86,1284.66,909.04,60.39,9.01,0.0,1466.84,5659.2,3605.63,0.0,0.0,0.0,0.0,0.0,-99321.91
01-Nov-14,-136412.63,-136412.63,0.0,47604.65,32296.7,1760.72,1135.65,792.19,85.39,9.01,0.0,177.2,7643.37,3704.42,0.0,0.0,0.0,0.0,0.0,-88807.98
01-Dec-14,-124817.1,-123291.19,-1525.91,48808.34,26062.06,2714.84,2233.79,1533.17,60.39,9.01,0.0,490.79,8597.72,7106.57,0.0,0.0,0.0,0.0,0.0,-76008.76
01-Jan-15,-112374.12,-112374.12,0.0,48271.72,26447.57,3234.3,1204.22,351.98,85.42,9.01,0.0,437.47,9464.86,7036.89,0.0,0.0,0.0,0.0,0.0,-64102.4
01-Feb-15,-105231.06,-104300.27,-930.79,52366.26,26213.48,4366.93,1138.12,398.36,110.6,9.01,0.0,1001.59,10202.64,8925.53,0.0,0.0,0.0,0.0,0.0,-52864.8
01-Mar-15,-91866.18,-91864.0,-2.18,48521.72,23599.7,1960.75,1351.6,853.25,135.73,9.01,0.0,467.84,10713.61,9430.23,0.0,0.0,0.0,0.0,0.0,-43344.46
01-Apr-15,-81364.53,-81220.05,-144.48,56144.25,22143.71,3330.57,2572.49,421.83,160.85,9.01,0.0,7589.16,10605.61,9311.02,0.0,0.0,0.0,0.0,0.0,-25220.28
01-May-15,-71206.38,-71031.35,-175.03,49781.3,18420.16,1322.16,1003.17,400.0,185.98,9.01,0.0,885.61,5967.7,14265.03,0.0,7322.48,0.0,0.0,0.0,-21425.08
01-Jun-15,-55796.38,-55756.41,-39.97,56432.78,21499.27,2741.48,2489.85,393.52,75.0,9.01,0.0,622.8,6040.23,15308.26,0.0,7253.36,0.0,0.0,0.0,636.4
01-Jul-15,-55633.16,-52829.48,-2803.68,57234.37,21123.29,4088.18,2858.79,387.75,97.0,9.01,0.0,531.67,5966.33,15079.24,0.0,7093.11,0.0,0.0,0.0,1601.21
01-Aug-15,-42700.21,-39665.99,-3034.22,52448.05,16981.95,2860.19,3438.39,400.0,122.0,9.01,0.0,13.05,6021.07,15600.95,0.0,7001.44,0.0,0.0,0.0,9747.84
01-Sep-15,-41391.76,-39436.03,-1955.73,43012.74,13269.66,670.37,798.88,335.61,147.0,9.01,0.0,532.61,5660.97,15097.89,0.0,6490.74,0.0,0.0,0.0,1620.98
01-Oct-15,-30222.86,-29092.91,-1129.95,49461.25,17533.46,3032.35,1227.35,400.0,172.0,9.01,0.0,272.38,5494.1,15082.8,0.0,6237.8,0.0,0.0,0.0,19238.39
01-Nov-15,-18076.98,-17374.62,-702.36,52382.05,19297.88,1044.04,603.7,400.0,197.0,9.01,0.0,1632.29,5911.09,16658.83,0.0,6628.21,0.0,0.0,0.0,34305.07
01-Dec-15,-12194.64,-9228.68,-2965.96,57756.42,16308.69,279.09,7691.92,97.0,222.0,9.01,0.0,4032.48,5935.39,16640.36,0.0,6540.48,0.0,0.0,0.0,45561.78
01-Jan-16,0.0,0.0,0.0,91250.69,22787.36,9648.51,2399.25,2661.07,247.0,9.01,0.0,8928.29,5816.55,31535.03,0.0,6405.2,813.42,0.0,0.0,91250.69
01-Feb-16,-2134.43,0.0,-2134.43,100211.68,28656.31,3042.0,425.0,400.0,272.0,9.01,0.0,4.17,5494.97,41884.2,0.0,6047.15,1626.84,413.36,11936.67,98077.25
01-Mar-16,0.0,0.0,0.0,106547.57,31767.28,2834.32,400.0,400.0,297.0,9.01,0.0,4.2,5485.29,44866.87,0.0,5910.11,2440.26,426.56,11706.67,106547.57
01-Apr-16,-189.44,0.0,-189.44,115966.82,25179.87,3363.44,349.25,4224.7,322.0,9.01,0.0,489.9,5867.68,54588.3,0.0,6393.93,3253.68,448.39,11476.67,115777.38
01-May-16,-97.11,0.0,-97.11,127345.68,24383.75,3250.0,400.0,5985.67,50.0,9.01,0.0,185.9,5910.35,64860.91,0.0,6535.82,4067.11,460.49,11246.67,127248.57
01-Jun-16,-4970.43,0.0,-4970.43,127216.7,24606.69,3000.0,375.0,400.0,75.0,9.01,0.0,2504.9,6003.98,67429.93,0.0,6469.31,4880.54,445.67,11016.67,122246.27
01-Jul-16,-2043.99,0.0,-2043.99,134223.04,35451.52,0.0,400.0,6014.24,100.0,9.01,0.0,1148.4,6014.48,72833.57,0.0,6408.19,5409.26,434.37,0.0,132179.05
01-Aug-16,-2695.87,0.0,-2695.87,135723.23,38371.75,0.0,1695.26,435.24,125.0,0.0,0.0,335.67,6250.83,75976.5,0.0,6690.91,5409.26,432.81,0.0,133027.36
01-Sep-16,-2056.68,0.0,-2056.68,136672.27,38063.35,0.0,400.0,388.0,150.0,0.0,0.0,2363.37,6268.24,76438.31,0.0,6740.27,5409.26,451.47,0.0,134615.59
01-Oct-16,-2008.54,0.0,-2008.54,130528.79,32113.5,0.0,375.0,67.13,175.0,0.0,0.0,1859.5,6282.53,76981.07,0.0,6832.39,5409.26,433.41,0.0,128520.25
01-Nov-16,-1381.36,0.0,-1381.36,142656.25,42134.27,0.0,3563.82,2012.0,200.0,0.0,0.0,555.31,6147.2,75486.43,0.0,6715.06,5409.26,432.9,0.0,141274.89
